연도,전담기관,공고명,공고일,상태
2023,한국산업기술기획평가원,2023년도 소재부품기술개발사업(패키지형) 신규지원 대상과제 공고,2023-06-09,접수마감
2023,한국산업기술기획평가원,2023년도 조선해양 분야 신규지원 대상과제 통합 공고(2차),2023-06-09,접수마감
2023,한국산업기술기획평가원,2023년도 2차 융복합신기술제품안전기술지원사업  신규지원 대상 연구개발과제 공고,2023-06-15,접수마감
2023,한국산업기술기획평가원,무기발광 디스플레이 기술개발 및 생태계 구축사업(가칭) 스마트모듈러센터 유치 공모,2023-06-16,접수마감
2023,한국산업기술기획평가원,2023년도 제2차 반도체 분야 신규지원 대상과제 공고,2023-06-28,접수마감
2023,한국산업기술기획평가원,2023년도 전자부품산업기술개발사업 신규지원 대상 연구개발과제 재공고(연장),2023-06-29,접수마감
2023,한국산업기술기획평가원,2023년도 제2차 디자인산업기술개발사업 신규지원 대상과제 공고,2023-07-06,접수마감
2023,한국산업기술기획평가원,2023년도 규제샌드박스융합신제품인증기술개발사업  2차 신규지원 대상 연구개발과제 공고,2023-07-11,접수마감
2023,한국산업기술기획평가원,2023년도 소재부품기술개발사업(패키지형) 신규지원 대상과제 공고,2023-08-03,접수마감
2023,한국산업기술기획평가원,2023년도 소재부품기술개발사업(패키지형-으뜸기업) 신규지원 대상과제 재공고,2023-08-08,접수마감
2023,한국산업기술기획평가원,2023년도 소재부품기술개발사업(패키지형) 신규지원 대상과제 공고,2023-09-05,접수마감
2023,한국산업기술기획평가원,2023년도 소재부품기술개발사업(패키지형-바이오분야) 신규지원 대상과제 공고,2023-09-11,접수마감
2023,한국산업기술기획평가원,2023년도 제2차 산업기술R&D연구기획사업 신규지원 대상과제 공고,2023-10-24,접수마감
2024,한국산업기술기획평가원,2024년 산업기술혁신사업 통합시행계획 공고,2023-12-29,접수마감
2024,한국산업기술기획평가원,2024년도 해외인증지원체계기반구축사업 신규지원 대상과제 공고,2024-03-06,접수마감
2024,한국산업기술기획평가원,2024년도 시험인증산업경쟁력및신뢰성제고사업  신규지원 대상과제 공고,2024-04-04,접수마감
2024,한국산업기술기획평가원,2024년도 글로벌기업산업기술연계R&D 사업 신규지원 대상과제 공고,2024-04-12,접수마감
2024,한국산업기술기획평가원,2024년도 시험인증산업경쟁력및신뢰성제고사업(유망시험서비스개발) 신규지원 대상과제 공고,2024-05-10,접수마감
2024,한국산업기술기획평가원,2025년도 산업기술혁신사업 통합 시행계획 공고,2024-12-23,접수마감
2022,한국에너지기술평가원,2022년도 제1차 에너지기술개발사업 신규지원대상과제 공고,2022-01-20 ~ 2022-02-24,접수마감
2022,한국에너지기술평가원,2022년도 가동원전 안전성향상 핵심기술개발사업 시행계획 및 신규지원 대상 연구개발과제 공고,2022-01-27 ~ 2022-03-03,접수마감
2022,국립재난안전연구원,2022년도 취약계층·시설 등 안전사고 예방기술개발사업 신규과제 공모,2022-02-10 ~ 2022-02-17,접수마감
2022,국립재난안전연구원,2022년도 자연재난 정책연계형 기술개발 사업 신규과제 공모,2022-02-10 ~ 2022-02-17,접수마감
2022,국립재난안전연구원,2022년도 재난피해 복구역량강화 기술개발 사업 신규과제 공모,2022-02-10 ~ 2022-02-17,접수마감
2022,국립재난안전연구원,2022년도 지능형 상황관리 기술개발 사업 신규과제 공모,2022-02-10 ~ 2022-02-17,접수마감
2022,국립재난안전연구원,2022년도 지진위험 분석 및 관리기술 개발 사업 신규과제 공모,2022-02-10 ~ 2022-02-17,접수마감
2022,한국지역정보개발원,2022년도 국민수요 맞춤형 생활안전 연구개발사업 신규과제 공모,2022-02-10 ~ 2022-02-17,접수마감
2022,국립재난안전연구원,2022년도 기후변화대응 AI기반 풍수해 위험도 예측기술개발 사업 신규과제 공모,2022-02-10 ~ 2022-02-17,접수마감
2022,한국에너지공단,2022년도 제1차 「전력정보화 및 정책지원사업(신재생에너지분야)」 신규지원 대상과제 공고,2022-02-11 ~ 2022-02-24,접수마감
2022,한국에너지기술평가원,제6차 원자력연구개발 5개년계획' 수립을 위한 의견수렴,2022-02-15 ~ 2022-02-20,접수마감
2022,한국지역정보개발원,2022년도 국민수요 맞춤형 생활안전 연구개발사업 신규과제 재공모 ,2022-02-25 ~ 2022-03-07,접수마감
2022,국립재난안전연구원,2022년도 지진 위험분석 및 관리기술 개발 신규과제 재공모,2022-02-25 ~ 2022-03-07,접수마감
2022,국립재난안전연구원,2022년도 자연재난 정책연계형 기술개발 신규과제 재공모,2022-02-25 ~ 2022-03-07,접수마감
2022,국립재난안전연구원,2022년도 지능형 상황관리 기술개발 신규과제 재공모,2022-02-25 ~ 2022-03-07,접수마감
2022,국립재난안전연구원,2022년도 재난안전 공동연구 기술개발사업 신규과제 공모,2022-02-28 ~ 2022-03-14,접수마감
2022,한국에너지기술평가원,2022년도 탄소순환형 정유제품 생산을 위한 CCU 통합공정 기술개발사업 신규지원대상과제 공고,2022-03-03 ~ 2022-03-28,접수마감
2022,국립재난안전연구원,2022년도 재난안전 공동연구 기술개발사업 신규과제 재공모,2022-03-21 ~ 2022-03-31,접수마감
2022,한국에너지기술평가원,2022년도 CCUS 상용기술 고도화 및 해외저장소 확보를 위한 국제공동연구 사업 신규지원 대상과제 공고,2022-04-05 ~ 2022-04-29,접수마감
